TransacaoID;ClienteID;DataHora;ValorTransacao;Localizacao;Canal;TipoTransacao;Dispositivo;IdadeCliente;CidadeResidencia;EstadoResidencia;DispositivoPreferido;DistanciaKM;TransacoesUltimos10min;TempoContaAbertaDias;VPNDetectada;SuspeitaFraude;Fraude_IA;FraudeConfirmada
1;389;2025-03-26 09:47:13;61.42;Farias de Pires - GO;App;Transferência;Android;80;Farias de Pires;GO;iOS;0;4;609;0;Não;;Não
2;264;2025-06-24 07:06:43;618.94;Sá das Pedras - RS;Site;Transferência;iOS;66;Sá das Pedras;RS;Android;0;3;2929;0;Não;;Não
3;174;2025-03-20 20:44:18;492.84;Cavalcante do Amparo - SP;Agência;Transferência;iOS;51;Cavalcante do Amparo;SP;Android;0;1;445;0;Não;;Não
4;658;2025-04-25 05:00:18;353.57;Cavalcante das Pedras - SC;App;Pix;iOS;75;Cavalcanti;MG;Android;299;0;110;0;Não;;Não
5;237;2025-06-18 15:42:42;86.17;Caldeira da Praia - RS;App;Pix;Android;46;Caldeira da Praia;RS;Android;0;1;899;0;Não;;Não
6;633;2025-04-21 21:53:16;75.0;Siqueira Paulista - SC;Agência;Transferência;Desktop;30;Siqueira Paulista;SC;Android;0;5;3158;0;Não;;Sim
7;565;2025-03-11 04:57:32;865.04;das Neves de Goiás - SP;App;Boleto;Android;33;das Neves de Goiás;SP;Android;0;4;2038;1;Não;;Sim
8;833;2025-07-01 09:51:17;366.82;Ramos de Fogaça - GO;Site;Cartão;iOS;57;Ramos de Fogaça;GO;Android;0;0;2971;0;Não;;Não
9;247;2025-06-06 10:09:46;59.75;Garcia de Araújo - RS;Agência;Boleto;Android;45;Garcia de Araújo;RS;Android;0;2;1339;0;Não;;Não
10;383;2025-04-08 09:47:06;741.26;Sampaio - RS;Agência;Cartão;Android;35;Barbosa;GO;iOS;662;2;286;0;Não;;Não
11;670;2025-05-04 14:18:28;358.62;Lopes das Flores - PR;App;Pix;Android;50;Castro;RJ;Android;1030;3;3421;0;Não;;Não
12;653;2025-03-14 18:05:37;774.67;da Costa - GO;App;Pix;Desktop;84;da Costa;GO;Android;0;3;511;0;Não;;Não
13;340;2025-06-02 01:13:18;866.15;Fernandes de Correia - PR;App;Pix;Android;46;Fernandes de Correia;PR;Android;0;1;611;0;Não;;Não
14;909;2025-02-06 22:42:01;594.24;Rios - MG;Site;Pix;iOS;55;Rios;MG;Android;0;0;2518;0;Não;;Não
15;557;2025-04-02 08:27:02;115.3;Moreira - MG;App;Cartão;iOS;32;Moreira;MG;Android;0;2;1761;0;Não;;Não
16;148;2025-05-28 15:00:46;11.31;Oliveira - SP;Agência;Transferência;Android;32;Oliveira;SP;Android;0;0;3618;0;Não;;Não
17;581;2025-06-24 02:13:57;78.41;Cavalcante do Oeste - RS;Agência;Boleto;Android;68;Cirino do Galho;GO;Android;986;5;1271;0;Não;;Não
18;742;2025-06-21 08:10:44;24.02;Rios - SP;Agência;Boleto;iOS;74;Rios;SP;Android;0;0;3320;0;Não;;Não
19;78;2025-03-19 07:17:29;124.6;Cirino do Amparo - SP;Agência;Transferência;iOS;46;Cirino do Amparo;SP;Android;0;2;1385;0;Não;;Não
20;462;2025-02-25 01:55:50;20.28;Nunes da Mata - SP;Site;Transferência;Android;65;Nunes da Mata;SP;iOS;0;3;2765;0;Não;;Não
21;390;2025-04-24 05:57:59;232.63;Aragão do Oeste - SC;Agência;Boleto;iOS;75;Aragão do Oeste;SC;iOS;0;1;1984;0;Não;;Não
22;158;2025-02-03 13:37:55;115.15;Novaes de Minas - GO;Agência;Cartão;iOS;38;Novaes de Minas;GO;iOS;0;5;3321;0;Não;;Não
23;94;2025-06-15 08:55:50;651.41;Duarte do Oeste - GO;Site;Transferência;iOS;61;Duarte do Oeste;GO;Android;0;2;3530;0;Não;;Não
24;90;2025-02-04 04:18:16;79.56;Câmara - MG;Site;Transferência;Android;73;Câmara;MG;Android;0;0;1735;0;Não;;Não
25;96;2025-07-08 09:03:15;612.29;da Mata - SC;Site;Transferência;Android;42;da Mata;SC;Android;0;0;1838;0;Não;;Não
26;87;2025-06-16 16:11:24;623.12;Cunha - RJ;Agência;Cartão;Android;78;Cunha;RJ;iOS;0;4;3214;0;Não;;Não
27;174;2025-05-11 06:50:11;839.4;Cavalcante do Amparo - SP;Site;Boleto;iOS;51;Cavalcante do Amparo;SP;Android;0;3;445;0;Não;;Não
28;283;2025-02-19 21:17:03;1854.66;Pastor - MG;Site;Pix;Android;66;Pastor;MG;Android;0;2;118;0;Não;;Não
29;641;2025-01-26 13:31:02;437.26;Nascimento - GO;Agência;Cartão;Android;54;Nascimento;GO;Android;0;3;3067;0;Não;;Não
30;972;2025-02-01 08:22:04;196.11;Fonseca - GO;Agência;Transferência;iOS;36;Fonseca;GO;iOS;0;2;1897;0;Não;;Não
31;844;2025-03-01 20:51:21;620.67;Nunes de da Mota - SC;App;Boleto;Desktop;78;Cardoso;GO;Desktop;856;4;3475;0;Não;;Não
32;322;2025-05-10 05:30:08;438.66;Barros - SC;Site;Boleto;Android;71;Barros;SC;iOS;0;2;2442;0;Não;;Não
33;991;2025-02-18 20:02:11;164.12;Fonseca - MG;App;Boleto;iOS;63;Fonseca;MG;iOS;0;3;1072;0;Não;;Não
34;374;2025-06-26 05:49:06;81.85;Melo - SP;Agência;Cartão;Android;70;Melo;SP;iOS;0;4;921;1;Não;;Não
35;787;2025-07-10 10:22:42;131.38;Silva - GO;Agência;Transferência;Android;58;Silva;GO;Android;0;5;2943;0;Não;;Não
36;852;2025-04-05 12:22:53;105.42;Caldeira dos Dourados - RJ;Site;Transferência;Android;42;Caldeira dos Dourados;RJ;iOS;0;1;1143;0;Não;;Não
37;675;2025-04-03 14:20:52;12.9;Melo Verde - PR;Site;Transferência;Android;71;Melo Verde;PR;Android;0;0;3252;0;Não;;Não
38;597;2025-01-25 03:42:42;1319.99;Novais - MG;Agência;Transferência;Android;25;Novais;MG;iOS;0;4;2079;0;Sim;;Não
39;719;2025-06-17 13:17:14;145.51;Rodrigues - SC;Agência;Pix;iOS;23;Cirino;PR;Android;423;1;3564;0;Não;;Não
40;663;2025-03-07 21:39:30;73.87;Melo do Amparo - GO;Agência;Transferência;iOS;30;Melo do Amparo;GO;iOS;0;2;2928;1;Não;;Não
41;11;2025-03-14 07:23:01;463.02;Viana - PR;App;Cartão;Android;38;Viana;PR;Android;0;3;1732;0;Não;;Não
42;696;2025-01-23 19:15:14;162.17;Almeida - GO;Agência;Cartão;iOS;41;Almeida;GO;iOS;0;2;553;1;Não;;Não
43;303;2025-07-02 15:56:11;868.67;Montenegro de Barros - RJ;App;Pix;Android;41;Montenegro de Barros;RJ;Android;0;5;887;0;Não;;Não
44;467;2025-07-07 22:27:31;285.12;Barros - SP;Agência;Transferência;Android;70;Barros;SP;Android;0;2;573;0;Não;;Não
45;714;2025-04-25 22:13:28;1418.83;Araújo - SP;App;Boleto;Android;59;Araújo;SP;Android;0;0;328;0;Não;;Não
46;870;2025-04-04 01:56:42;858.0;Silva do Campo - MG;App;Cartão;iOS;70;Silva do Campo;MG;iOS;0;5;2939;0;Não;;Não
47;164;2025-05-20 04:48:44;280.75;Duarte de Mendes - GO;Site;Transferência;Android;22;Duarte de Mendes;GO;Android;0;1;1928;0;Não;;Não
48;191;2025-07-21 17:06:39;78.67;Moura do Amparo - MG;Site;Transferência;Android;18;Moura do Amparo;MG;Android;0;0;1176;0;Não;;Não
49;461;2025-06-06 05:22:01;74.73;Barros - SC;Site;Pix;Android;51;Barros;SC;Android;0;5;1561;0;Não;;Não
50;721;2025-06-18 20:02:45;453.67;Sousa - SP;Agência;Pix;Android;53;Jesus;PR;iOS;1299;1;3242;0;Não;;Não
51;117;2025-07-14 09:35:16;17.87;Moreira - RS;Site;Boleto;Desktop;48;Moreira;RS;iOS;0;4;492;0;Não;;Não
52;117;2025-06-14 15:28:43;645.7;Moreira - RS;Site;Cartão;iOS;48;Moreira;RS;iOS;0;5;492;0;Não;;Não
53;630;2025-07-21 15:50:29;1584.01;Casa Grande - RJ;Agência;Cartão;Android;80;Casa Grande;RJ;Android;0;2;928;0;Não;;Não
54;188;2025-05-27 17:38:35;151.37;Cassiano de Vieira - PR;App;Transferência;iOS;66;Cassiano de Vieira;PR;Android;0;3;3065;0;Não;;Não
55;434;2025-05-18 22:27:25;357.24;Cardoso de Almeida - SC;Agência;Cartão;Android;66;Cardoso de Almeida;SC;Android;0;4;1471;0;Não;;Não
56;192;2025-05-03 22:09:20;507.57;da Rocha das Pedras - RS;Site;Pix;Android;44;da Rocha das Pedras;RS;iOS;0;2;3219;1;Não;;Não
57;200;2025-05-03 07:23:55;76.01;da Costa - SC;Agência;Transferência;Android;46;Santos Paulista;GO;iOS;1037;5;816;0;Não;;Não
58;455;2025-01-29 20:24:30;269.64;Peixoto - SP;App;Pix;Android;77;Peixoto;SP;Android;0;1;577;0;Não;;Não
59;551;2025-03-10 20:17:44;28.78;Moraes Verde - GO;Site;Transferência;iOS;38;Moraes Verde;GO;Android;0;4;2531;0;Não;;Não
60;275;2025-05-18 11:25:41;92.61;Araújo - PR;Site;Pix;Android;76;Araújo;PR;Android;0;5;627;0;Não;;Não
61;436;2025-06-14 01:16:50;658.79;Camargo da Mata - GO;Agência;Cartão;Desktop;20;Camargo da Mata;GO;iOS;0;2;2697;0;Não;;Sim
62;270;2025-05-01 12:47:08;594.43;Caldeira - PR;App;Transferência;iOS;72;Caldeira;PR;Android;0;0;1518;0;Não;;Não
63;831;2025-02-09 02:47:10;319.47;das Neves - MG;Agência;Boleto;Android;20;das Neves;MG;Android;0;5;1357;0;Não;;Não
64;631;2025-02-05 23:35:09;27.3;Camargo - RJ;App;Cartão;Android;35;Camargo;RJ;iOS;0;0;317;0;Não;;Não
65;612;2025-05-30 00:58:12;139.89;Alves - SC;Site;Boleto;Android;84;Alves;SC;iOS;0;2;651;0;Não;;Não
66;527;2025-07-17 21:51:38;385.58;Viana - PR;App;Cartão;Android;60;da Luz;PR;Android;155;0;501;1;Não;;Não
67;130;2025-06-03 00:18:27;25.36;Cassiano - RJ;App;Cartão;Android;26;Cassiano;RJ;Android;0;1;1514;0;Não;;Não
68;780;2025-06-27 03:45:31;344.9;Ribeiro - RS;Site;Cartão;Android;55;Moreira;PR;iOS;1382;5;1238;0;Não;;Não
69;463;2025-03-26 03:22:05;571.56;Brito de Guerra - RS;App;Transferência;Android;47;Brito de Guerra;RS;iOS;0;4;103;0;Não;;Não
70;899;2025-02-08 23:29:53;196.52;Montenegro de Ferreira - RJ;Site;Boleto;Android;59;Montenegro de Ferreira;RJ;Android;0;4;28;0;Não;;Não
71;751;2025-06-01 01:32:27;522.34;da Costa do Amparo - MG;Site;Boleto;Android;21;da Costa do Amparo;MG;Android;0;0;2270;0;Não;;Não
72;992;2025-04-13 11:10:45;339.98;Cirino do Sul - SC;App;Transferência;Android;64;Cirino do Sul;SC;iOS;0;2;3616;0;Não;;Não
73;561;2025-03-04 00:43:03;93.19;Fogaça de Goiás - SC;Agência;Transferência;iOS;68;Fogaça de Goiás;SC;iOS;0;2;225;0;Não;;Não
74;48;2025-07-07 01:06:39;479.0;Gomes - SC;Site;Pix;iOS;72;Gomes;SC;Android;0;0;261;0;Não;;Não
75;468;2025-02-03 05:06:26;570.3;Vasconcelos Alegre - SP;Site;Cartão;iOS;23;Vasconcelos Alegre;SP;iOS;0;5;1247;0;Não;;Não
76;310;2025-06-04 12:25:30;369.67;Pires de Silveira - SC;Site;Pix;iOS;24;Pires de Silveira;SC;Android;0;5;1197;0;Não;;Não
77;681;2025-06-20 15:26:24;358.67;da Cruz Grande - RJ;App;Transferência;iOS;63;Ramos;RJ;iOS;128;5;2338;0;Não;;Não
78;672;2025-02-09 10:50:12;289.18;Barros - RS;App;Pix;iOS;85;Barros;RS;iOS;0;1;456;0;Não;;Não
79;232;2025-02-14 21:36:36;51.81;Pimenta - GO;Site;Pix;iOS;20;Pimenta;GO;Android;0;0;3608;0;Não;;Não
80;881;2025-05-11 17:04:15;616.35;Macedo - GO;App;Transferência;Android;68;Macedo;GO;Android;0;0;2030;0;Não;;Não
81;826;2025-02-04 06:52:19;524.29;Machado - RJ;Site;Boleto;Android;58;Machado;RJ;iOS;0;2;1610;0;Não;;Não
82;772;2025-02-06 16:52:36;122.44;Lopes do Campo - PR;Agência;Cartão;iOS;39;Camargo da Praia;SC;iOS;340;4;2379;0;Não;;Não
83;169;2025-05-01 02:43:30;52.58;Silveira - GO;Agência;Cartão;iOS;53;Silveira;GO;Android;0;5;285;0;Não;;Não
84;631;2025-07-03 12:59:56;535.38;Camargo - RJ;App;Pix;Android;35;Camargo;RJ;iOS;0;0;317;0;Não;;Não
85;748;2025-02-08 03:05:30;10.0;Cassiano - RJ;Site;Boleto;Android;83;Cassiano;RJ;Android;0;1;498;0;Não;;Não
86;255;2025-07-14 06:24:00;287.86;Abreu - RJ;Agência;Boleto;Desktop;49;Abreu;RJ;Android;0;5;3438;0;Não;;Não
87;897;2025-05-06 02:35:34;299.75;Rodrigues - PR;Agência;Cartão;Android;69;Rodrigues;PR;Android;0;5;391;0;Não;;Não
88;803;2025-03-05 05:38:16;301.54;Martins Grande - RJ;Site;Transferência;Android;76;Costela da Praia;RJ;Android;78;1;882;0;Não;;Não
89;541;2025-02-16 04:04:07;454.03;Pereira - SP;Site;Boleto;Android;57;Rodrigues do Oeste;MG;Desktop;470;3;1438;0;Não;;Não
90;375;2025-07-16 10:02:33;429.42;Aragão do Amparo - RS;App;Transferência;Android;32;Aragão do Amparo;RS;Android;0;0;482;0;Não;;Não
91;269;2025-06-14 19:32:47;988.99;Barros - MG;App;Transferência;Android;23;Barros;MG;Android;0;4;2183;0;Não;;Não
92;786;2025-02-13 09:25:15;300.41;Camargo das Pedras - SC;Agência;Transferência;iOS;61;Camargo das Pedras;SC;iOS;0;0;589;0;Não;;Não
